date,year,reason,n_fire,ha,cells
2021-02-14,2021,random,2,0.07,2
2021-02-20,2021,top_damage,3,12.03,3
2021-02-21,2021,top_damage,8,335.8,8
2021-03-23,2021,top_damage,7,24.79,7
2021-05-28,2021,random,0,0.0,0
2022-03-04,2022,top_damage,10,16512.0,241
2022-03-05,2022,top_damage,11,4233.21,38
2022-04-07,2022,random,5,0.55,5
2022-04-08,2022,random,5,0.43,5
2022-04-10,2022,top_damage,19,1076.95,30
2023-02-13,2023,random,0,0.0,0
2023-03-08,2023,top_damage,6,167.48,6
2023-04-02,2023,top_damage,34,2590.13,56
2023-04-03,2023,top_damage,11,908.63,14
2023-05-17,2023,random,4,0.95,4
2024-02-14,2024,random,1,3.0,1
2024-03-20,2024,top_damage,10,5.57,10
2024-03-22,2024,top_damage,6,4.83,6
2024-04-02,2024,top_damage,5,4.22,5
2024-04-21,2024,random,0,0.0,0
2025-03-21,2025,top_damage,6,3399.54,39
2025-03-22,2025,top_damage,24,1107.36,24
2025-04-28,2025,top_damage,3,310.19,6
2025-05-19,2025,random,0,0.0,0
2025-05-23,2025,random,0,0.0,0
