date,hour,top1_pop,top5_pop,top1_pop_day,top5_pop_day,top1_pop_old,top5_pop_old,top5_old_house,wui_top5_cells,max_prob,mean_prob,top10_pop
2021-02-01,8,3256576.0432382524,9755129.044256017,2409045.3162073926,7862560.684884988,657610.2590588256,1891858.2295113327,952958.7246034526,3599,0.17342932522296906,0.009057595394551754,36898.995312422514
2021-02-02,8,932363.3659863323,10555790.08919692,779474.4210903414,8752151.067241712,191916.2935717058,1837059.9004169023,875028.2914860535,3161,0.20554131269454956,0.006405097898095846,17549.69534164667
2021-02-03,8,740543.5034573972,15043398.248263612,616702.4398222318,12616020.501548568,167698.42217531154,2661402.171409612,1227279.9625441928,3049,0.23674382269382477,0.007537153083831072,27229.226441442966
2021-02-04,8,485621.02917683125,3542008.766421184,401194.74769582076,2789220.5000440567,116758.75197203452,729506.0566597895,418955.23606803716,3704,0.32169392704963684,0.013861670158803463,19768.401397645473
2021-02-05,8,1617965.811722517,13185884.036653355,1251351.9655293846,10702313.635215528,310474.2209938079,2358684.7403456327,1144699.2528973557,3616,0.2543919086456299,0.011647703126072884,21826.148444265127
2021-02-06,8,1977411.9420532137,6443918.081226736,1585283.9019573615,4934313.998656411,401649.9947880613,1243238.2570382792,656515.1553099675,3155,0.2461591362953186,0.015821656212210655,30025.0626873374
2021-02-07,8,3372864.0576987416,7339326.704812959,2584839.305044711,5630565.629633739,682917.9060873971,1455489.0595483067,751272.8463767911,3418,0.11495007574558258,0.009707673452794552,30352.722999215126
2021-02-08,8,3252645.8098796457,11222955.231866479,2568090.595359171,9140992.711443396,683603.532788984,2174036.580437901,1047114.150430452,4398,0.2031169831752777,0.00798086915165186,25902.398819118738
2021-02-09,8,3551468.13566944,7783284.303072572,2830018.2026132676,5962331.178244578,744699.605212074,1566504.51433072,786298.1935170174,4378,0.21168172359466553,0.012217939831316471,26401.85660415888
2021-02-10,8,1609538.4665295482,6535643.391700089,1178395.0682635247,5073816.873144493,351500.4940722005,1275775.031615539,610220.9310117717,3921,0.2687346637248993,0.027679339051246643,25709.643521130085
2021-02-11,8,867244.4761389941,4313380.177564397,635573.0276476457,3222508.934861986,169040.59392929112,869364.5661152712,435489.18368957785,3298,0.255984365940094,0.024196408689022064,31385.98089647293
2021-02-12,8,258783.3068602234,2097187.1660072505,198388.13750131184,1551164.8755780556,57503.22429277151,435085.4038458014,224525.693668216,2389,0.27909332513809204,0.02555765025317669,18519.999752819538
2021-02-13,8,345038.9660793394,1017970.974523887,258616.9796232135,769698.0386643136,66457.23339803627,219156.4646987778,124868.7236580979,2141,0.2659153640270233,0.025701133534312248,22491.871289551258
2021-02-14,8,262120.44375893474,540520.5796154588,212907.9437032988,456490.6571824728,59775.92912839571,129135.66470137374,73439.96344996404,2095,0.31217122077941895,0.034395113587379456,16491.632083147764
2021-02-15,8,333065.4464094341,1033707.017962724,273544.765081975,846181.3751208297,82797.22733684484,244356.37598080622,139252.20978192272,2996,0.22540326416492462,0.020691068843007088,13542.6084484756
2021-02-16,8,1747430.8835905641,8843791.334608972,1309476.5226816402,7779057.031255471,321362.01547780895,1625799.8035498513,728555.9100037718,4121,0.18819649517536163,0.00981532596051693,35457.245288819075
2021-02-17,8,1918649.1424940377,8433493.371779397,1631453.862416132,7009502.512547542,357582.61840720475,1561155.505694252,721087.3380191184,3714,0.18805481493473053,0.01260644942522049,38494.65382933617
2021-02-18,8,2046141.6569546908,8451767.757454097,1708798.4566573817,7234844.699814459,387187.27114192705,1516191.6889506392,665780.5188426123,4443,0.1936604380607605,0.014175216667354107,35269.75156337023
2021-02-19,8,528164.5339952111,10393621.989437476,420129.2833021924,7662389.056927411,126970.29924613656,1958499.2703723512,854476.1426857873,4185,0.28476646542549133,0.023364253342151642,28983.41948455572
2021-02-20,8,1065169.6955896616,5129023.376302928,840311.5735014685,4078105.4607016793,210219.8449609399,998925.7829779119,497922.56396542775,4183,0.25928565859794617,0.020307978615164757,16231.841368943453
2021-02-21,8,958181.7941129506,3816558.8230597824,729421.8446522758,2883599.0324928476,210188.5641803324,792279.00118304,426181.2989278612,4011,0.27977341413497925,0.025082502514123917,24517.418807327747
2021-02-22,8,647976.7796501815,1193013.694675669,506107.8911525464,951867.9051267745,116485.64657831738,234108.97101769055,123142.5615890166,1723,0.2690437138080597,0.01804909110069275,12715.429411053658
2021-02-23,8,2626651.6619114876,5972118.870563,2095424.3893180722,4861043.683061739,502835.78870709497,1154367.7050319777,600477.7886741281,3839,0.23777088522911072,0.02073327824473381,21680.239166349173
2021-02-24,8,1722388.1394318044,5056656.50896582,1325702.9695062255,3955424.0213585086,341500.81954681117,1015262.0602944754,491831.14417745074,5013,0.2847077250480652,0.04135991632938385,18134.572079896927
2021-02-25,8,3472502.7034556866,12656809.520885527,3212709.256306552,10354193.014349129,597348.372431739,2156166.3185485266,998371.304707404,3948,0.2831999659538269,0.044070132076740265,43032.35725647211
2021-02-26,8,2273319.610711813,11818621.2157543,2522646.4379516756,10086036.151234647,389373.8682092851,2072361.7944881953,895374.5113210371,4534,0.28921520709991455,0.028806518763303757,34458.80508553982
2021-02-27,8,2551221.8030281663,9715871.564561844,1802096.4649315875,7909212.888086246,474543.6575246066,1775865.628593821,796927.7278105661,4861,0.27703046798706055,0.025752419605851173,33711.32857736945
2021-02-28,8,1203419.7886306345,11372781.329053432,853755.0238679273,8888435.625927983,182645.65463575165,1893892.8482934714,778625.898920205,4388,0.22054722905158997,0.018838105723261833,38437.572839707136
2021-03-01,8,1069913.2696897388,5089910.786757857,829640.6135411502,3902697.6719821934,200755.48305243248,794420.9411466351,332946.41397405486,2764,0.144758939743042,0.014271593652665615,24632.052733391523
2021-03-02,8,1067212.4887955934,3498020.761097014,745214.9585351738,3043228.553453543,160075.20633917607,598963.7961611273,258872.09928302502,2976,0.027425050735473633,0.0018337070941925049,22596.26543146372
2021-03-03,8,1226832.4770594165,3160597.3500912115,832441.9912830966,2493007.314221428,191050.11341632073,553489.1706729578,283036.55041568563,3194,0.03627711907029152,0.002122196601703763,20457.756341725588
2021-03-04,8,1477953.16406551,4814055.857146613,1031920.7748790818,4235860.73960038,216683.1869710039,806959.3743358809,391881.88438858447,3230,0.03157862648367882,0.0022662801202386618,25615.7242962718
2021-03-05,8,916262.0230824351,2450911.5827267617,594444.9780509523,2144963.2761057923,131747.9962616084,400079.6061273081,201587.3601454736,2870,0.016334151849150658,0.0016956973122432828,21793.923014491796
2021-03-06,8,2590785.766091734,12969224.406008571,1808068.4962945327,10767328.821378348,458036.89057035145,2288838.557593073,1006057.138884546,4633,0.09150297194719315,0.008122432045638561,37815.566236555576
2021-03-07,8,4242096.659222275,13809561.914868921,3907318.3706134986,11766924.593293235,714913.00792832,2335585.9424161008,1041955.4739889358,4039,0.11937663704156876,0.00783914141356945,43812.102065086365
2021-03-08,8,4801174.802265972,15305772.984799445,3927085.6244568964,12161831.765487146,753195.3853229651,2547862.778624399,1053186.9917651298,4610,0.08740382641553879,0.010319259017705917,44974.08776187897
2021-03-09,8,3890381.805967748,12084140.99688214,2999848.294563651,9499079.837225981,700157.7206364992,2096676.5631963243,912105.7661653296,4404,0.11236230283975601,0.011594177223742008,46468.845093637705
2021-03-10,8,1660583.107858494,12439231.900978297,1308482.4303641517,10321909.351098835,312868.5030684143,2258418.5721065737,1033652.0107138813,3910,0.17776593565940857,0.012248310260474682,31499.48506063223
2021-03-11,8,1342398.0163954496,6911906.488891661,1081977.7013690267,5240586.301522138,256181.38780452852,1240193.0088488755,588374.8996470906,2821,0.18987134099006653,0.017573582008481026,48492.38397091627
2021-03-12,8,2777773.9455390275,7356172.3661106825,2516683.537591037,6743416.597690402,496354.55866146414,1342859.705505882,564212.9550579472,4901,0.1984180063009262,0.01413052063435316,44361.376798689365
2021-03-13,8,833362.8615449071,8643826.231518507,739004.4568909378,7249680.5741502745,143199.930356076,1460929.1927308547,525807.0995953992,3889,0.12046784907579422,0.008387154899537563,48263.074687719345
2021-03-14,8,5161422.23114413,13599408.055727243,3583874.6202677223,10114603.823043479,847306.1329378239,2272439.536332148,950515.0086910086,5241,0.08417858183383942,0.008627080358564854,50311.92237299681
2021-03-15,8,5726892.321987137,16504575.697985947,4403509.388030987,13366736.575834014,904607.1667503716,2754029.211462228,1185040.03254219,5251,0.05418116971850395,0.008418506942689419,42833.635988771915
2021-03-16,8,9908346.141367108,21173871.750445485,8592404.964954736,16937850.91621478,1736584.0445421478,3516500.887692404,1565353.0426252892,4759,0.24150556325912476,0.008995173498988152,39823.720438450575
2021-03-17,8,1602455.8570288569,8872154.952911839,1384649.6156754894,7700326.994587288,247216.34904918724,1457826.011092302,631320.4444744496,2967,0.16892191767692566,0.012737325392663479,26868.44135862589
2021-03-18,8,2794863.2744818777,10556132.38259621,2346097.1431806516,8470280.01563685,467549.45740720595,1812934.3056223611,793317.3221273395,3419,0.13182573020458221,0.016173798590898514,43544.672766923904
2021-03-19,8,4504434.515204102,16920550.555268273,3512966.3209521566,13792936.772832723,632355.628857488,2699964.4172273763,1178401.7709159146,4679,0.21634510159492493,0.018696529790759087,32392.58907431364
2021-03-20,8,7846113.647880077,18685414.99391754,6794359.618902009,15273715.961938292,1371494.693071968,3195211.6160218855,1338852.1064573154,6118,0.2575758993625641,0.014016331173479557,32751.33460816741
2021-03-21,8,4078350.7431421876,12074385.003431752,3225187.316615992,9919103.490737084,719463.1226742438,2167105.4691961627,996609.8536601022,4322,0.11489144712686539,0.009020952507853508,36497.102743804455
2021-03-22,8,3914049.3862712383,13741046.22030764,3272218.7014480825,11293993.817476727,712385.6116262958,2453315.3544554105,1063973.3224328936,5006,0.12402902543544769,0.007366573438048363,29676.816917538643
2021-03-23,8,416591.1619412005,7267403.709171489,330318.31138093304,5237366.138182183,95137.36704718394,1206055.107493197,505773.34288726526,3705,0.25798097252845764,0.01208873838186264,35050.31465163827
