fire_id,ignite_h,end_h,hours,damagearea,source,n_cells,coord_src,loc
1,2021-06-08 14:00:00,2021-06-08 17:00:00,4,0.04,point,1,original,강원 홍천 내촌
2,2021-06-07 15:00:00,2021-06-07 17:00:00,3,0.01,point,1,original,강원 강릉 주문진
3,2021-06-07 15:00:00,2021-06-07 16:00:00,2,0.01,point,1,original,강원 강릉 주문진
4,2021-05-31 15:00:00,2021-05-31 18:00:00,4,0.05,point,1,original,전남 보성 율어
5,2021-05-27 15:00:00,2021-05-27 18:00:00,4,0.13,point,1,original,경북 고령 개진
6,2021-05-14 11:00:00,2021-05-14 14:00:00,4,0.1,point,1,original,강원 횡성 안흥
7,2021-05-13 17:00:00,2021-05-13 17:00:00,1,0.01,point,1,original,전남 함평 대동
8,2021-05-13 15:00:00,2021-05-13 20:00:00,6,1.2,point,1,original,강원 태백 nan
9,2021-05-12 04:00:00,2021-05-12 09:00:00,6,0.3,point,1,original,경기 남양주 화도
10,2021-05-10 14:00:00,2021-05-10 16:00:00,3,0.1,point,1,original,전북 부안 진서
11,2021-05-10 01:00:00,2021-05-10 03:00:00,3,0.01,point,1,original,충북 충주 nan
12,2021-05-09 17:00:00,2021-05-09 19:00:00,3,0.01,point,1,original,강원 철원 철원
13,2021-05-09 13:00:00,2021-05-09 14:00:00,2,0.03,point,1,original,강원 철원 철원
14,2021-05-09 13:00:00,2021-05-09 14:00:00,2,0.2,point,1,sgis_recovered,강원 홍천 남
15,2021-05-09 12:00:00,2021-05-09 13:00:00,2,0.02,point,1,original,전남 구례 산동
16,2021-05-09 12:00:00,2021-05-09 14:00:00,3,1.4,point,1,original,경북 고령 대가야
17,2021-05-08 17:00:00,2021-05-08 19:00:00,3,0.05,point,1,original,대전 유성 nan
18,2021-05-08 12:00:00,2021-05-08 16:00:00,5,0.01,point,1,original,강원 횡성 안흥
19,2021-05-07 11:00:00,2021-05-07 13:00:00,3,0.2,point,1,original,강원 삼척 도계
20,2021-05-06 21:00:00,2021-05-07 01:00:00,5,0.01,point,1,original,강원 삼척 원덕
21,2021-05-06 17:00:00,2021-05-06 18:00:00,2,0.1,point,1,original,강원 인제 서화
22,2021-05-03 15:00:00,2021-05-03 16:00:00,2,0.01,point,1,original,경기 의왕 nan
23,2021-05-03 13:00:00,2021-05-03 14:00:00,2,0.01,point,1,original,경기 오산 nan
24,2021-04-30 13:00:00,2021-04-30 16:00:00,4,0.03,point,1,original,대구 달성 가창
25,2021-04-30 12:00:00,2021-04-30 15:00:00,4,0.3,point,1,sgis_recovered,전남 여수 소라
26,2021-04-30 05:00:00,2021-04-30 07:00:00,3,0.5,point,1,original,충북 청주 가덕
27,2021-04-29 21:00:00,2021-04-30 02:00:00,6,0.01,point,1,sgis_recovered,강원 삼척 가곡
28,2021-04-29 14:00:00,2021-04-30 12:00:00,23,10.0,point,1,original,전북 무주 무풍
29,2021-04-29 14:00:00,2021-04-29 15:00:00,2,0.05,point,1,original,전북 완주 비봉
