fire_id,datetime,damagearea,firecause,address_raw,matched_address,recover_level,x_5179,y_5179
14,2021-05-09 13:16:00,0.2,기타,강원 홍천 남 시동 산70,강원특별자치도 홍천군 남면 시동리,ri,1029386.40392843,1954119.99034894
25,2021-04-30 12:13:00,0.3,입산자실화,전남 여수 소라 봉두 산307,전라남도 여수시 소라면 봉두리,ri,1007646.96292203,1646381.91625596
27,2021-04-29 21:15:00,0.01,기타,강원 삼척 가곡 오저 산90,강원특별자치도 삼척시 가곡면 오저리,ri,1149816.64970172,1905664.15515305
31,2021-04-27 15:34:00,0.04,기타,광주 남 석정 산40-3,광주광역시 남구 석정동,dong,937777.135158073,1676850.71659939
34,2021-04-26 18:28:00,0.06,입산자실화,대구 북 팔달 산62-1,대구광역시 북구 팔달동,dong,1093926.76005463,1767429.4089969
38,2021-04-25 17:41:00,0.01,입산자실화,전북 완주 구이 백여 산425-1,전북특별자치도 완주군 구이면 백여리,ri,964723.962687624,1738759.10111801
44,2021-04-25 12:05:00,0.3,입산자실화,경기 포천 청수 가양 산22,경기도 포천시,sgg,976950.009660615,1996445.16805
54,2021-04-22 17:32:00,0.01,기타,충남 공주 유구 노동 194-1,충청남도 공주시 유구읍 노동리,ri,947161.136174095,1839770.39059942
59,2021-04-22 00:00:00,0.1,기타,경북 포항 북 신흥 산131-1,경상북도 포항시 남구,sgg,1174112.83270431,1775850.579
67,2021-03-26 16:35:00,0.33,쓰레기소각,충남 청양 목 송암 산21,충청남도 청양군 목면 송암리,ri,955378.026269633,1827064.15632706
71,2021-03-25 13:20:00,0.1,농산부산물소각,경남 창녕 대합 주매 산1,경상남도 창녕군 대합면 주매리,ri,1083826.37659719,1730251.11194749
74,2021-03-23 18:14:00,0.01,기타,울산 중 성안 산341,울산광역시 중구 성안동,dong,1163985.34602112,1732855.09085
83,2021-03-20 00:07:00,0.2,건축물화재비화,경기 여주 대신 율촌 144-1,경기도 여주시 대신면 율촌리,ri,1007699.41226855,1931505.22082247
85,2021-03-19 14:39:00,0.03,입산자실화,경북 상주 이안 양범 산87-1,경상북도 상주시 이안면 양범리,ri,1056851.96590117,1841631.19360363
95,2021-03-14 17:56:00,0.01,담뱃불실화,경기 광주 남한산성 오전 산98-1,경기도 광주시 남한산성면 오전리,ri,976089.198800928,1939489.38893655
98,2021-03-10 15:33:00,0.01,농산부산물소각,경남 통영 도산 도선 산243,경상남도 통영시 도산면 도선리,ri,1078409.37451241,1658835.3631953
106,2021-02-27 14:29:00,0.1,담뱃불실화,경기 양평 양서 목왕 산8외2필지,경기도 양평군 양서면 목왕리,ri,989604.451094125,1950828.16754963
127,2021-02-23 14:09:00,0.1,입산자실화,울산 남 장생포 산30,울산광역시 남구 장생포동,dong,1169883.54798148,1724871.89232557
130,2021-02-22 14:07:00,0.03,기타,경북 상주 하남 중눌 산21,경상북도 상주시,sgg,1053621.90216995,1827828.5359
