fire_id,ignite_h,scan_hour,horizon,loc,damagearea,haz_top_pct,is_wui,pop
424,2021-02-03 15:00:00,14,1,경남 고성 영오,0.05,79.98746490478516,False,5.488102734088898
423,2021-02-04 13:00:00,11,2,경남 통영 도산,0.01,,True,60.72350364923477
422,2021-02-05 14:00:00,11,3,강원 정선 북평,1.5,64.45597839355469,False,1.3592883944511414
179,2021-02-06 16:00:00,14,2,대구 남 nan,0.01,18.503183364868164,False,4429.964968621731
178,2021-02-07 15:00:00,14,1,대구 남 nan,0.01,9.696722030639648,False,4429.964968621731
175,2021-02-08 13:00:00,11,2,경북 안동 nan,0.1,6.938579082489014,False,863.8962530195713
174,2021-02-08 14:00:00,11,3,인천 강화 양도,0.17,,False,49.74176260828972
173,2021-02-09 12:00:00,11,1,전남 영광 군남,0.01,76.30152893066406,False,5.415336102247238
172,2021-02-09 13:00:00,11,2,강원 삼척 신기,1.0,17.72850227355957,False,6.84799188375473
171,2021-02-09 14:00:00,11,3,경북 의성 금성,0.03,30.914060592651367,False,0.0
170,2021-02-09 15:00:00,14,1,경남 하동 양보,0.05,0.7051455974578857,False,31.038400262594223
169,2021-02-09 16:00:00,14,2,경북 영덕 영덕,0.05,38.738651275634766,False,530.324871212244
166,2021-02-10 12:00:00,11,1,전남 광양 nan,3.0,7.393833160400391,False,1894.8712554872036
164,2021-02-11 13:00:00,11,2,경북 경주 천북,0.1,18.860639572143555,False,353.3430625796318
162,2021-02-12 13:00:00,11,2,경북 의성 의성,0.1,3.8618721961975098,False,1348.7601742744446
159,2021-02-12 15:00:00,14,1,전남 신안 안좌,0.01,,False,0.9282021224498749
160,2021-02-12 15:00:00,14,1,경남 합천 야로,0.02,28.183948516845703,False,0.4310862720012665
161,2021-02-12 15:00:00,14,1,경기 용인 기흥,0.02,71.44198608398438,True,1407.6075903177261
158,2021-02-12 16:00:00,14,2,경기 양평 지평,0.06,62.96586227416992,True,32.14311036467552
157,2021-02-12 17:00:00,14,3,경기 파주 nan,0.02,,False,32.43252369761467
154,2021-02-13 14:00:00,11,3,서울 강남 nan,0.09,75.46721649169922,True,1280.439642548561
153,2021-02-13 15:00:00,14,1,전남 고흥 포두,0.1,14.398614883422852,False,1.1546194553375244
151,2021-02-14 14:00:00,11,3,대구 달성 논공,0.01,75.18822479248047,False,30.138763517141342
150,2021-02-15 15:00:00,14,1,경기 용인 처인,0.08,6.297752857208252,False,3116.113898307085
148,2021-02-16 14:00:00,11,3,강원 강릉 옥계,1.0,1.1411644220352173,False,113.60947835445404
146,2021-02-18 14:00:00,11,3,강원 강릉 성산,0.4,6.976034641265869,True,19.034094154834747
142,2021-02-20 15:00:00,14,1,강원 정선 여량,12.0,26.962665557861328,False,0.0
141,2021-02-20 16:00:00,14,2,충남 당진 석문,0.01,,True,28.530214458703995
137,2021-02-21 14:00:00,11,3,경남 하동 악양,10.0,69.14755249023438,True,13.393029242753983
138,2021-02-21 14:00:00,11,3,전남 여수 화양,0.1,32.48231887817383,False,3.965236097574234
135,2021-02-21 15:00:00,14,1,전북 남원 송동,0.1,80.18978118896484,False,8.962290287017822
136,2021-02-21 15:00:00,14,1,경북 안동 임동,250.0,67.3619613647461,False,0.0
133,2021-02-21 16:00:00,14,2,충북 영동 매곡,20.0,1.6959269046783447,False,61.87672084569931
134,2021-02-21 16:00:00,14,2,경북 예천 감천,55.0,39.776554107666016,False,1.9162096679210663
132,2021-02-21 17:00:00,14,3,경남 거창 신원,0.1,10.427576065063477,False,1.847391128540039
129,2021-02-22 14:00:00,11,3,강원 화천 간동,0.1,74.45392608642578,True,15.518883019685745
128,2021-02-22 17:00:00,14,3,대구 동 nan,0.16,41.315040588378906,False,56.5729455947876
126,2021-02-23 14:00:00,11,3,경기 의정부 nan,0.01,59.6772346496582,True,18.379624217748642
127,2021-02-23 14:00:00,11,3,울산 남 nan,0.1,5.548039436340332,False,101.06134542822838
124,2021-02-23 16:00:00,14,2,경기 포천 영중,0.03,86.57716369628906,False,5.6237084567546844
125,2021-02-23 16:00:00,14,2,전남 곡성 옥과,0.01,43.60068130493164,False,3.0020105838775635
119,2021-02-24 14:00:00,11,3,충남 천안 동남,0.03,64.94633483886719,False,1670.1703751087189
120,2021-02-24 14:00:00,11,3,충남 아산 음봉,0.03,54.72037124633789,False,9.95946779847145
121,2021-02-24 14:00:00,11,3,경북 안동 풍산,0.02,22.636764526367188,False,4.619950741529465
117,2021-02-24 15:00:00,14,1,경북 고령 덕곡,0.05,36.64507293701172,True,24.128540188074112
118,2021-02-24 15:00:00,14,1,충남 공주 신풍,0.03,0.563186764717102,True,112.75424697995186
116,2021-02-25 13:00:00,11,2,경기 성남 분당,0.03,22.62880516052246,False,1232.6770148277283
113,2021-02-26 12:00:00,11,1,경기 용인 처인,0.05,1.3337045907974243,False,3116.113898307085
110,2021-02-26 13:00:00,11,2,경기 연천 백학,1.5,,False,12.823146760463715
111,2021-02-26 13:00:00,11,2,강원 홍천 북방,0.1,15.635293006896973,False,4.667485475540161
112,2021-02-26 13:00:00,11,2,인천 강화 화도,0.17,28.4628849029541,False,138.7486463189125
108,2021-02-27 12:00:00,11,1,경기 시흥 nan,0.06,4.706818580627441,False,2631.248045027256
109,2021-02-27 12:00:00,11,1,경기 화성 송산,0.1,13.135492324829102,False,17.69715490937233
