fire_id,damagearea,r_eq_km,thr_km,n_poly_all,ha_all,n_poly_keep,ha_keep,dist_median_km,floor_decided
134,55.0,0.42,5.0,20,65.8,5,35.1,13.36,True
136,250.0,0.89,5.0,1,92.0,0,0.0,14.45,True
4044,47.0,0.39,5.0,1,38.0,0,0.0,14.46,True
4045,40.0,0.36,5.0,211,507.9,18,27.1,12.31,True
4105,210.0,0.82,5.0,11,43.5,7,35.6,1.98,True
4109,190.0,0.78,5.0,2,63.7,2,63.7,0.9,True
4110,475.0,1.23,5.0,3,173.0,1,34.9,5.75,True
4111,27.0,0.29,5.0,1,3.8,0,0.0,11.02,True
4157,70.0,0.47,5.0,7,43.7,4,38.3,4.17,True
4159,889.36,1.68,5.05,9,63.8,7,60.7,3.03,False
4164,35.0,0.33,5.0,1,4.3,0,0.0,10.73,True
4166,68.0,0.47,5.0,38,100.8,5,22.1,11.34,True
4169,1454.0,2.15,6.45,63,798.6,36,695.5,4.76,False
4193,119.92,0.62,5.0,1,26.2,1,26.2,1.97,True
4276,28.0,0.3,5.0,5,11.2,1,1.4,13.71,True
4286,4190.38,3.65,10.96,13,822.6,10,721.5,6.7,False
4293,184.01,0.77,5.0,7,732.5,1,36.2,12.63,True
4294,16301.98,7.2,21.61,426,5988.8,380,5905.4,9.11,False
4310,813.89,1.61,5.0,2,89.4,0,0.0,10.01,True
4455,29.0,0.3,5.0,9,36.5,1,2.1,14.47,True
4477,27.0,0.29,5.0,2,339.2,0,0.0,11.24,True
4654,763.0,1.56,5.0,2,86.5,1,50.2,5.13,True
4662,145.0,0.68,5.0,1,124.5,1,124.5,2.43,True
4789,69.21,0.47,5.0,3,10.0,2,8.9,3.29,True
4857,720.0,1.51,5.0,6,289.8,6,289.8,2.31,True
4863,347.0,1.05,5.0,7,69.3,6,67.3,2.74,True
4890,40.0,0.36,5.0,1,27.9,0,0.0,5.27,True
4913,120.0,0.62,5.0,11,19.5,2,3.2,6.09,True
5142,37.0,0.34,5.0,15,46.5,3,23.7,8.33,True
5147,51.0,0.4,5.0,38,158.9,4,39.7,12.66,True
5160,91.0,0.54,5.0,4,582.0,0,0.0,10.72,True
5178,29.0,0.3,5.0,13,648.9,0,0.0,13.17,True
5182,68.0,0.47,5.0,20,1632.9,5,391.4,8.5,True
5194,86.0,0.52,5.0,8,18.7,3,9.4,10.33,True
5223,163.0,0.72,5.0,1,57.3,0,0.0,5.97,True
5363,310.0,0.99,5.0,12,100.2,8,94.1,2.57,True
5382,73.0,0.48,5.0,26,48.9,0,0.0,11.92,True
5443,63.0,0.45,5.0,2,22.6,0,0.0,5.23,True
5456,3397.0,3.29,9.86,20,3464.3,6,909.6,19.79,False
5495,97.0,0.56,5.0,16,52.3,7,16.6,5.4,True
5504,57.0,0.43,5.0,45,385.7,1,1.2,14.31,True
5512,931.0,1.72,5.16,18,47.8,13,40.0,3.8,False
5528,34.14,0.33,5.0,1,26.0,0,0.0,14.8,True
5645,39.73,0.36,5.0,4,267.1,0,0.0,14.26,True
5661,48.34,0.39,5.0,4,12.2,3,10.8,0.35,True
5696,70.0,0.47,5.0,6,733.2,2,91.3,5.16,True
5773,30.0,0.31,5.0,5,143.8,0,0.0,11.85,True
