fire_id,poly_ha,n_poly,A_all_touched,B_center,C_frac25,D_frac50,A_all_touched_ha,B_center_ha,C_frac25_ha,D_frac50_ha
134,65.8,20,35,1,4,0,875,25,100,0
136,92.0,1,9,4,6,4,225,100,150,100
1185,67.3,1,10,4,6,1,250,100,150,25
1386,740.2,3,60,29,39,29,1500,725,975,725
1423,16.2,3,7,1,1,0,175,25,25,0
4044,38.0,1,6,2,2,2,150,50,50,50
4045,507.9,211,308,25,9,1,7700,625,225,25
4105,43.5,11,22,0,3,0,550,0,75,0
4109,63.7,2,11,3,4,2,275,75,100,50
4110,173.0,3,23,7,11,6,575,175,275,150
4111,3.8,1,2,0,0,0,50,0,0,0
4157,43.7,7,16,2,2,1,400,50,50,25
4159,63.8,9,19,2,3,1,475,50,75,25
4164,4.3,1,2,0,0,0,50,0,0,0
4166,100.8,38,50,4,1,0,1250,100,25,0
4169,798.6,63,140,24,48,21,3500,600,1200,525
4193,26.2,1,7,3,3,0,175,75,75,0
4276,11.2,5,7,0,0,0,175,0,0,0
4286,822.6,13,121,31,52,22,3025,775,1300,550
4293,732.5,7,114,27,55,22,2850,675,1375,550
4294,5988.8,426,784,237,340,210,19600,5925,8500,5250
4310,89.4,2,15,2,6,4,375,50,150,100
4455,36.5,9,14,1,2,0,350,25,50,0
4477,339.2,2,43,14,22,9,1075,350,550,225
4654,86.5,2,13,6,5,4,325,150,125,100
4662,124.5,1,17,4,6,5,425,100,150,125
4789,10.0,3,6,0,0,0,150,0,0,0
4857,289.8,6,42,12,20,9,1050,300,500,225
4863,69.3,7,16,1,5,0,400,25,125,0
4890,27.9,1,6,3,2,0,150,75,50,0
4913,19.5,11,12,3,0,0,300,75,0,0
5142,46.5,15,27,2,1,1,675,50,25,25
5147,158.9,38,69,9,7,1,1725,225,175,25
5160,582.0,4,77,25,40,20,1925,625,1000,500
5178,648.9,13,121,28,39,17,3025,700,975,425
5182,1632.9,20,254,62,108,48,6350,1550,2700,1200
5194,18.7,8,14,1,1,0,350,25,25,0
5223,57.3,1,11,2,4,2,275,50,100,50
5363,100.2,12,23,5,7,2,575,125,175,50
5382,48.9,26,43,4,0,0,1075,100,0,0
5443,22.6,2,6,1,1,1,150,25,25,25
5456,3464.3,20,383,133,216,125,9575,3325,5400,3125
5495,52.3,16,24,3,3,0,600,75,75,0
5504,385.7,45,90,13,21,8,2250,325,525,200
5512,47.8,18,27,1,1,0,675,25,25,0
5528,26.0,1,7,0,2,1,175,0,50,25
5645,267.1,4,35,11,13,10,875,275,325,250
5661,12.2,4,7,0,1,0,175,0,25,0
5696,733.2,6,86,30,44,27,2150,750,1100,675
5773,143.8,5,34,5,10,4,850,125,250,100
