T,top1pct_인구,top5pct_인구,wui_top5pct_격자,top10_인구,top10_평균위험상위%,발화건수,발화_위험상위%
2025-03-22 06:00:00,745735.0324674547,2621571.7363562584,3185,30012.096050143242,0.489,0,
2025-03-22 07:00:00,687085.8943567276,2180279.066401571,2856,28032.675490260124,0.421,2,"광주 광산 nan(0.01ha,t+3h)=10.8%; 대구 북 nan(0.15ha,t+3h)=35.5%"
2025-03-22 08:00:00,701579.6653686166,2424212.0946954265,2937,28409.469184666872,0.455,3,"광주 광산 nan(0.01ha,t+2h)=18.4%; 대구 북 nan(0.15ha,t+2h)=21.2%; 경기 여주 점동(0.02ha,t+3h)=49.1%"
2025-03-22 09:00:00,1020865.3567343056,3819477.067814246,3532,28228.0484752357,0.405,6,"광주 광산 nan(0.01ha,t+1h)=46.6%; 대구 북 nan(0.15ha,t+1h)=11.3%; 경기 여주 점동(0.02ha,t+2h)=55.8%; 전남 보성 웅치(0.1ha,t+3h)=75.8%; 전남 보성 노동(0.5ha,t+3h)=73.6%; 울산 울주 온양(931.0ha,t+3h)=9.1%"
2025-03-22 10:00:00,1396457.0593234599,4914196.401097506,5425,28521.29778006673,0.211,10,"경기 여주 점동(0.02ha,t+1h)=65.4%; 전남 보성 웅치(0.1ha,t+2h)=80.8%; 전남 보성 노동(0.5ha,t+2h)=78.3%; 울산 울주 온양(931.0ha,t+2h)=9.8%; 경북 의성 금성(57.0ha,t+3h)=4.7%; 전북 진안 안천(7.0ha,t+3h)=46.9%; 경기 여주 강천(7.6ha,t+3h)=29.0%; 전남 진도 군내(0.01ha,t+3h)=32.2%; 경기 광주 초월(0.16ha,t+3h)=10.6%; 경기 연천 백학(3.0ha,t+3h)=nan%"
2025-03-22 11:00:00,969283.8828705251,3666901.9061081707,6256,29103.87333059311,0.335,15,"전남 보성 웅치(0.1ha,t+1h)=75.3%; 전남 보성 노동(0.5ha,t+1h)=73.2%; 울산 울주 온양(931.0ha,t+1h)=10.5%; 경북 의성 금성(57.0ha,t+2h)=3.4%; 전북 진안 안천(7.0ha,t+2h)=25.2%; 경기 여주 강천(7.6ha,t+2h)=34.9%; 전남 진도 군내(0.01ha,t+2h)=56.9%; 경기 광주 초월(0.16ha,t+2h)=27.6%; 경기 연천 백학(3.0ha,t+2h)=nan%; 경남 밀양 nan(0.09ha,t+3h)=0.0%; 강원 정선 신동(0.5ha,t+3h)=41.3%; 전남 보성 문덕(0.1ha,t+3h)=17.3%; 전북 남원 대산(0.15ha,t+3h)=42.0%; 경기 동두천 nan(0.1ha,t+3h)=nan%; 경남 김해 한림(97.0ha,t+3h)=1.3%"
2025-03-22 12:00:00,874569.2764633894,3545933.476107076,6951,31834.438252806664,0.574,14,"경북 의성 금성(57.0ha,t+1h)=6.0%; 전북 진안 안천(7.0ha,t+1h)=27.9%; 경기 여주 강천(7.6ha,t+1h)=35.5%; 전남 진도 군내(0.01ha,t+1h)=58.0%; 경기 광주 초월(0.16ha,t+1h)=36.6%; 경기 연천 백학(3.0ha,t+1h)=nan%; 경남 밀양 nan(0.09ha,t+2h)=0.5%; 강원 정선 신동(0.5ha,t+2h)=54.3%; 전남 보성 문덕(0.1ha,t+2h)=11.4%; 전북 남원 대산(0.15ha,t+2h)=47.6%; 경기 동두천 nan(0.1ha,t+2h)=nan%; 경남 김해 한림(97.0ha,t+2h)=0.6%; 경북 경주 외동(0.3ha,t+3h)=29.5%; 광주 북 nan(0.01ha,t+3h)=87.2%"
2025-03-22 13:00:00,845314.4541424811,3665410.283621505,7281,31834.438252806664,0.503,8,"경남 밀양 nan(0.09ha,t+1h)=0.8%; 강원 정선 신동(0.5ha,t+1h)=64.2%; 전남 보성 문덕(0.1ha,t+1h)=20.3%; 전북 남원 대산(0.15ha,t+1h)=40.9%; 경기 동두천 nan(0.1ha,t+1h)=nan%; 경남 김해 한림(97.0ha,t+1h)=0.7%; 경북 경주 외동(0.3ha,t+2h)=17.5%; 광주 북 nan(0.01ha,t+2h)=83.8%"
2025-03-22 14:00:00,813971.1770798564,3820693.348101124,7409,33759.60097190738,0.59,4,"경북 경주 외동(0.3ha,t+1h)=18.4%; 광주 북 nan(0.01ha,t+1h)=87.8%; 전북 남원 nan(1.0ha,t+3h)=2.9%; 경북 안동 nan(0.5ha,t+3h)=0.7%"
2025-03-22 15:00:00,819341.3115919232,3904661.9738015085,7422,32479.48881471157,0.602,3,"전북 남원 nan(1.0ha,t+2h)=3.0%; 경북 안동 nan(0.5ha,t+2h)=0.5%; 경기 양평 단월(0.16ha,t+3h)=37.3%"
2025-03-22 16:00:00,789183.8147928119,3797811.9083586484,7351,32629.63972234726,0.654,4,"전북 남원 nan(1.0ha,t+1h)=2.3%; 경북 안동 nan(0.5ha,t+1h)=0.5%; 경기 양평 단월(0.16ha,t+2h)=36.7%; 경남 의령 화정(0.9ha,t+3h)=0.1%"
2025-03-22 17:00:00,755504.3928232193,3830374.85005109,7231,30743.475286245346,0.529,2,"경기 양평 단월(0.16ha,t+1h)=35.2%; 경남 의령 화정(0.9ha,t+2h)=0.6%"
2025-03-22 18:00:00,763108.8086552918,3846376.522197321,7083,29879.004854530096,0.522,1,"경남 의령 화정(0.9ha,t+1h)=0.0%"
