T,top1pct_인구,top5pct_인구,wui_top5pct_격자,top10_인구,top10_평균위험상위%,max_prob,mean_prob,발화건수,발화_위험상위%
2025-05-19 06:00:00,384426.1895286888,3722559.9328858927,2471,34828.84068724513,0.923,0.03632406145334244,0.0011771275894716382,0,
2025-05-19 07:00:00,1208876.743621096,8015872.169138707,2728,45679.248869240284,0.805,0.04029133543372154,0.001625866279937327,0,
2025-05-19 08:00:00,2208438.9104341567,8720064.108687304,2637,41743.00643706322,0.82,0.054051194339990616,0.0024618294555693865,0,
2025-05-19 09:00:00,2064508.7447320223,8504794.461223483,2454,38084.05063816905,0.507,0.05804730951786041,0.005570059176534414,0,
2025-05-19 10:00:00,1345641.7104605138,6450770.322700232,2501,32089.299396634102,1.14,0.08989964425563812,0.011658012866973877,0,
2025-05-19 11:00:00,1064718.156954825,4294350.2699276805,3107,28598.23450317979,0.907,0.1157243624329567,0.014474502764642239,0,
2025-05-19 12:00:00,1267082.635014981,4732118.0866776705,3090,27469.797348082066,0.756,0.19083592295646667,0.013690666295588017,0,
2025-05-19 13:00:00,1621992.083598107,5364420.638624996,2900,26984.294155567884,0.562,0.14850658178329468,0.011473927646875381,0,
2025-05-19 14:00:00,1794668.2148893774,5084240.880948767,3272,27182.90139338374,0.441,0.10837395489215851,0.008713336661458015,0,
2025-05-19 15:00:00,1637225.2501133978,4892983.428929135,3507,30934.80158942938,0.774,0.08959223330020905,0.0059080300852656364,0,
2025-05-19 16:00:00,1753733.9373994768,4719047.8368239775,3704,31895.742796182632,0.81,0.0815565213561058,0.0041201296262443066,0,
2025-05-19 17:00:00,2046464.198729813,4084787.683403857,3654,33334.04368540645,0.585,0.033799946308135986,0.003111080499365926,0,
2025-05-19 18:00:00,2151289.134519018,4195480.883306183,3838,33219.203751415014,0.557,0.05476532503962517,0.0024281200021505356,0,
