setting,hardneg_frac,fold,test_year,horizon_h,n_hardneg_train,epochs_run,n_test,n_pos_test,auroc,auprc,threshold_val,f1,csi,pod,far
baseline(random),-1.0,1,2021,1,1116,100,5533,168,0.8625,0.1863,0.09,0.2504,0.1431,0.4226,0.8221
baseline(random),-1.0,1,2021,2,1116,100,5533,168,0.8481,0.1496,0.11,0.2188,0.1229,0.256,0.8089
baseline(random),-1.0,1,2021,3,1116,100,5533,167,0.8264,0.129,0.06,0.1799,0.0989,0.4192,0.8854
baseline(random),-1.0,2,2022,1,728,35,11946,362,0.6927,0.0936,0.04,0.125,0.0667,0.4116,0.9263
baseline(random),-1.0,2,2022,2,728,35,11946,362,0.6939,0.0873,0.04,0.1306,0.0699,0.3757,0.9209
baseline(random),-1.0,2,2022,3,728,35,11946,362,0.6931,0.0845,0.04,0.1361,0.073,0.1878,0.8932
baseline(random),-1.0,3,2023,1,796,30,10835,329,0.7667,0.1114,0.04,0.1584,0.086,0.1459,0.8267
baseline(random),-1.0,3,2023,2,796,30,10835,328,0.7859,0.1161,0.04,0.1784,0.0979,0.3201,0.8763
baseline(random),-1.0,3,2023,3,796,30,10835,328,0.7805,0.1034,0.04,0.1719,0.094,0.4024,0.8907
baseline(random),-1.0,4,2024,1,1141,100,4389,133,0.8327,0.2084,0.09,0.2956,0.1734,0.4511,0.7802
baseline(random),-1.0,4,2024,2,1141,100,4389,133,0.8214,0.1652,0.1,0.2478,0.1414,0.3158,0.7961
baseline(random),-1.0,4,2024,3,1141,100,4389,133,0.7981,0.1298,0.1,0.1672,0.0913,0.1805,0.8442
baseline(random),-1.0,5,2025,1,1006,31,6732,204,0.7816,0.1399,0.04,0.1938,0.1073,0.4608,0.8773
baseline(random),-1.0,5,2025,2,1006,31,6732,204,0.7776,0.1219,0.04,0.1807,0.0994,0.2255,0.8492
baseline(random),-1.0,5,2025,3,1006,31,6732,204,0.7701,0.1171,0.04,0.1871,0.1032,0.4461,0.8817
hardneg=0.25,0.25,1,2021,1,7705,72,5533,168,0.8515,0.1698,0.09,0.16,0.087,0.131,0.7944
hardneg=0.25,0.25,1,2021,2,7705,72,5533,168,0.8207,0.1282,0.05,0.186,0.1025,0.3155,0.8682
hardneg=0.25,0.25,1,2021,3,7705,72,5533,167,0.7975,0.1133,0.05,0.1667,0.0909,0.3054,0.8854
hardneg=0.25,0.25,2,2022,1,6248,36,11946,362,0.6913,0.0937,0.05,0.1165,0.0618,0.0801,0.7868
hardneg=0.25,0.25,2,2022,2,6248,36,11946,362,0.6942,0.0869,0.04,0.1438,0.0775,0.2348,0.8963
hardneg=0.25,0.25,2,2022,3,6248,36,11946,362,0.6924,0.0845,0.04,0.1244,0.0663,0.105,0.8474
hardneg=0.25,0.25,3,2023,1,6500,32,10835,329,0.7691,0.1124,0.04,0.1481,0.08,0.1155,0.7935
hardneg=0.25,0.25,3,2023,2,6500,32,10835,328,0.7877,0.1151,0.04,0.1781,0.0977,0.1982,0.8383
hardneg=0.25,0.25,3,2023,3,6500,32,10835,328,0.7811,0.1035,0.04,0.1684,0.0919,0.2287,0.8668
hardneg=0.25,0.25,4,2024,1,7965,73,4389,133,0.8293,0.1969,0.05,0.2804,0.163,0.4511,0.7966
hardneg=0.25,0.25,4,2024,2,7965,73,4389,133,0.809,0.1468,0.06,0.2215,0.1246,0.2632,0.8087
hardneg=0.25,0.25,4,2024,3,7965,73,4389,133,0.7866,0.1228,0.06,0.1473,0.0795,0.1429,0.848
