fold,test_year,prow,pcol,year,month,day,hour,sample_type,y_true_t1,y_prob_t1,y_true_t2,y_prob_t2,y_true_t3,y_prob_t3
1,2021,567,1281,2021,6,8,13,pre_ignition,1,0.020020206,0,0.021799138,0,0.01815366
1,2021,567,1281,2021,6,8,12,pre_ignition,0,0.014774848,1,0.018672464,0,0.018736329
1,2021,567,1281,2021,6,8,11,pre_ignition,0,0.004369693,0,0.0062766057,1,0.008785912
1,2021,560,1390,2021,6,7,14,pre_ignition,1,0.015601017,0,0.013957233,0,0.0095701
1,2021,560,1390,2021,6,7,13,pre_ignition,0,0.01691642,1,0.014948777,0,0.0102154985
1,2021,560,1390,2021,6,7,12,pre_ignition,0,0.02688592,0,0.023954766,1,0.015381647
1,2021,558,1391,2021,6,7,14,pre_ignition,1,0.017386733,0,0.015254322,0,0.010207373
1,2021,558,1391,2021,6,7,13,pre_ignition,0,0.018707672,1,0.016493728,0,0.011096591
1,2021,558,1391,2021,6,7,12,pre_ignition,0,0.026545567,0,0.024117652,1,0.015625194
1,2021,1238,1111,2021,5,31,14,pre_ignition,1,0.018904373,0,0.014541195,0,0.009504876
1,2021,1238,1111,2021,5,31,13,pre_ignition,0,0.027663158,1,0.021825686,0,0.013966765
1,2021,1238,1111,2021,5,31,12,pre_ignition,0,0.033540796,0,0.029283917,1,0.019591505
1,2021,1043,1329,2021,5,27,14,pre_ignition,1,0.024282366,0,0.026767628,0,0.023997637
1,2021,1043,1329,2021,5,27,13,pre_ignition,0,0.018588979,1,0.021987442,0,0.021608194
1,2021,1043,1329,2021,5,27,12,pre_ignition,0,0.011603294,0,0.01464461,1,0.016458254
1,2021,673,1284,2021,5,14,10,pre_ignition,1,0.052612025,0,0.07013462,0,0.075669095
1,2021,673,1284,2021,5,14,9,pre_ignition,0,0.015300147,1,0.024095003,0,0.03629642
1,2021,673,1284,2021,5,14,8,pre_ignition,0,0.008089161,0,0.013537338,1,0.023323296
1,2021,1183,997,2021,5,13,16,pre_ignition,1,0.037426807,0,0.030119734,0,0.02131173
1,2021,1183,997,2021,5,13,15,pre_ignition,0,0.043884784,1,0.035027966,0,0.024713775
1,2021,1183,997,2021,5,13,14,pre_ignition,0,0.055972174,0,0.0446004,1,0.03126104
1,2021,690,1437,2021,5,13,14,pre_ignition,1,0.06308081,0,0.05175471,0,0.037171464
1,2021,690,1437,2021,5,13,13,pre_ignition,0,0.098983705,1,0.07910713,0,0.054907616
1,2021,690,1437,2021,5,13,12,pre_ignition,0,0.16391869,0,0.13742104,1,0.09578467
1,2021,611,1145,2021,5,12,3,pre_ignition,1,0.0043117045,0,0.005673315,0,0.0071975384
1,2021,611,1145,2021,5,12,2,pre_ignition,0,0.005070399,1,0.0065397606,0,0.007847016
1,2021,611,1145,2021,5,12,1,pre_ignition,0,0.0033799245,0,0.0045410865,1,0.0058921073
1,2021,1066,1009,2021,5,10,13,pre_ignition,1,0.018358024,0,0.018069586,0,0.01596937
1,2021,1066,1009,2021,5,10,12,pre_ignition,0,0.020854898,1,0.020433813,0,0.01791674
1,2021,1066,1009,2021,5,10,11,pre_ignition,0,0.023158675,0,0.024066003,1,0.021483865
1,2021,762,1257,2021,5,10,0,pre_ignition,1,0.0070339045,0,0.00849711,0,0.009510085
1,2021,762,1257,2021,5,9,23,pre_ignition,0,0.0062371055,1,0.0072259125,0,0.007509184
1,2021,762,1257,2021,5,9,22,pre_ignition,0,0.0067971805,0,0.0074213124,1,0.0072330413
1,2021,506,1138,2021,5,9,16,pre_ignition,1,0.046543147,0,0.033840332,0,0.022167737
1,2021,506,1138,2021,5,9,15,pre_ignition,0,0.0566773,1,0.041022114,0,0.026377484
1,2021,506,1138,2021,5,9,12,pre_ignition,1,0.06272731,0,0.050046116,0,0.03510732
1,2021,506,1138,2021,5,9,11,pre_ignition,0,0.067935,1,0.060043823,0,0.04487424
1,2021,506,1138,2021,5,9,10,pre_ignition,0,0.07096089,0,0.07498357,1,0.062591985
1,2021,1142,1153,2021,5,9,11,pre_ignition,1,0.113248155,0,0.12177235,0,0.09383147
1,2021,1142,1153,2021,5,9,10,pre_ignition,0,0.039113365,1,0.05255984,0,0.056526873
1,2021,1142,1153,2021,5,9,9,pre_ignition,0,0.013241569,0,0.020557825,1,0.029485358
1,2021,1041,1310,2021,5,9,11,pre_ignition,1,0.20711274,0,0.19073938,0,0.1382537
1,2021,1041,1310,2021,5,9,10,pre_ignition,0,0.18897974,1,0.2063378,0,0.16753806
1,2021,1041,1310,2021,5,9,9,pre_ignition,0,0.08428076,0,0.11602391,1,0.123811565
1,2021,907,1136,2021,5,8,16,pre_ignition,1,0.030275537,0,0.022085745,0,0.015109952
