fold,test_year,horizon_h,train_years,ratio,epochs_run,elapsed_s,n_test,n_pos_test,auroc,auprc,threshold_val,f1,csi,pod,far,f1_oracle,threshold_oracle
1,2021,1,"[2022, 2023, 2024, 2025]",10,100,102.4,7809,168,0.8674,0.1423,0.14,0.2121,0.1186,0.25,0.8158,0.229,0.12
1,2021,2,"[2022, 2023, 2024, 2025]",10,100,102.6,7809,168,0.8535,0.1178,0.11,0.1879,0.1037,0.2857,0.8601,0.2038,0.09
1,2021,3,"[2022, 2023, 2024, 2025]",10,100,102.7,7809,167,0.8321,0.1001,0.09,0.1536,0.0832,0.2635,0.8916,0.1569,0.05
2,2022,1,"[2021, 2023, 2024, 2025]",10,37,35.4,8634,362,0.6894,0.1141,0.05,0.1611,0.0876,0.1519,0.8287,0.1745,0.04
2,2022,2,"[2021, 2023, 2024, 2025]",10,37,35.6,8634,362,0.6925,0.1099,0.04,0.1751,0.0959,0.3066,0.8775,0.1751,0.04
2,2022,3,"[2021, 2023, 2024, 2025]",10,37,35.8,8634,362,0.6937,0.107,0.04,0.1584,0.086,0.1934,0.8659,0.1584,0.04
3,2023,1,"[2021, 2022, 2024, 2025]",10,30,31.6,8504,329,0.772,0.1349,0.04,0.1529,0.0828,0.1155,0.7738,0.168,0.03
3,2023,2,"[2021, 2022, 2024, 2025]",10,30,31.8,8504,328,0.7852,0.134,0.04,0.1694,0.0926,0.1555,0.8139,0.1694,0.04
3,2023,3,"[2021, 2022, 2024, 2025]",10,30,31.9,8504,328,0.7754,0.1185,0.04,0.134,0.0718,0.122,0.8513,0.1578,0.03
4,2024,1,"[2021, 2022, 2023, 2025]",10,100,109.0,7086,133,0.8332,0.1473,0.12,0.2344,0.1327,0.3383,0.8207,0.2432,0.14
4,2024,2,"[2021, 2022, 2023, 2025]",10,100,109.2,7086,133,0.8229,0.1181,0.11,0.1983,0.1101,0.2707,0.8435,0.2063,0.09
4,2024,3,"[2021, 2022, 2023, 2025]",10,100,109.4,7086,133,0.8014,0.0934,0.11,0.1338,0.0717,0.1504,0.8795,0.1646,0.08
5,2025,1,"[2021, 2022, 2023, 2024]",10,100,103.5,7402,204,0.8593,0.1572,0.09,0.2257,0.1272,0.4559,0.85,0.2292,0.1
5,2025,2,"[2021, 2022, 2023, 2024]",10,100,103.7,7402,204,0.845,0.1355,0.07,0.202,0.1123,0.4951,0.8731,0.2306,0.12
5,2025,3,"[2021, 2022, 2023, 2024]",10,100,103.8,7402,204,0.8191,0.1261,0.11,0.1964,0.1089,0.2647,0.8439,0.1964,0.11
