horizon,year,n_pos,n_notburning_at_t,pct_notburning_at_t,n_true_ignition,pct_true_ignition
t+1h,ALL,4425,0,0.0,1,0.02
t+1h,2021,542,0,0.0,1,0.18
t+1h,2022,1378,0,0.0,0,0.0
t+1h,2023,1572,0,0.0,0,0.0
t+1h,2024,299,0,0.0,0,0.0
t+1h,2025,634,0,0.0,0,0.0
t+2h,ALL,3378,0,0.0,2,0.06
t+2h,2021,396,0,0.0,1,0.25
t+2h,2022,1052,0,0.0,0,0.0
t+2h,2023,1280,0,0.0,1,0.08
t+2h,2024,193,0,0.0,0,0.0
t+2h,2025,457,0,0.0,0,0.0
t+3h,ALL,2628,0,0.0,3,0.11
t+3h,2021,296,0,0.0,2,0.68
t+3h,2022,825,0,0.0,0,0.0
t+3h,2023,1054,0,0.0,1,0.09
t+3h,2024,125,0,0.0,0,0.0
t+3h,2025,328,0,0.0,0,0.0
