model,fold,test_year,val_year,horizon_h,plgbm,ratio,lr,n_train,n_val,n_test,n_pos_test,auroc,auprc,full_n,full_pos,full_auroc,full_auprc,best_epoch,dropout,seed,fold_sec
CNN,1,2021,2022,1,P_lgbm_r20,10,0.0005,82179,35470,28849,612,0.8689777943971442,0.13881925968753112,283317,612,0.8685478916161596,0.016927553922692278,34,0.2,42,40.7
CNN,1,2021,2022,2,P_lgbm_r20,10,0.0005,82179,35470,28849,433,0.8737821160508082,0.10914815048938661,283317,433,0.8751523609037407,0.013379019880083576,34,0.2,42,40.9
CNN,1,2021,2022,3,P_lgbm_r20,10,0.0005,82179,35470,28849,314,0.8818983056900733,0.0932287237982431,283317,314,0.8842536295951129,0.011700790965426939,34,0.2,42,41.0
CNN,2,2022,2023,1,P_lgbm_r20,10,0.0005,80775,30253,35470,7978,0.9429181741131044,0.8723799366961119,287749,7978,0.9426815214239801,0.6022949416344416,30,0.2,42,34.1
CNN,2,2022,2023,2,P_lgbm_r20,10,0.0005,80775,30253,35470,7296,0.943770770830142,0.8604059759121568,287749,7296,0.9472136264048465,0.5996741898971714,30,0.2,42,34.3
CNN,2,2022,2023,3,P_lgbm_r20,10,0.0005,80775,30253,35470,6735,0.9473777003049525,0.8532288509193013,287749,6735,0.9526599110172284,0.5759663293152295,30,0.2,42,34.4
CNN,3,2023,2024,1,P_lgbm_r20,10,0.0005,90919,25326,30253,2589,0.8937047862994685,0.4570100485014387,283176,2589,0.8944046368068823,0.0907270771842396,102,0.2,42,106.8
CNN,3,2023,2024,2,P_lgbm_r20,10,0.0005,90919,25326,30253,2185,0.898109657846309,0.442375966201995,283176,2185,0.9022471187237305,0.09488712435356388,102,0.2,42,107.0
CNN,3,2023,2024,3,P_lgbm_r20,10,0.0005,90919,25326,30253,1861,0.9056632530312934,0.42330641533701197,283176,1861,0.9118933759728232,0.09514714547924677,102,0.2,42,107.2
CNN,4,2024,2025,1,P_lgbm_r20,10,0.0005,94572,26600,25326,401,0.8044131896937696,0.10955485183065221,251399,401,0.8044896791956633,0.012814460768517024,21,0.2,42,36.1
CNN,4,2024,2025,2,P_lgbm_r20,10,0.0005,94572,26600,25326,261,0.7795864086707893,0.06745648470889412,251399,261,0.7811490447971257,0.007858972889427157,21,0.2,42,36.2
CNN,4,2024,2025,3,P_lgbm_r20,10,0.0005,94572,26600,25326,172,0.7561871198995583,0.041633695102668476,251399,172,0.7587700149063743,0.004846067852254523,21,0.2,42,36.3
CNN,5,2025,2021,1,P_lgbm_r20,10,0.0005,91049,28849,26600,1734,0.9050584489263839,0.44113633104574934,252952,1734,0.9060277922271804,0.09093243648237133,43,0.2,42,45.6
CNN,5,2025,2021,2,P_lgbm_r20,10,0.0005,91049,28849,26600,1466,0.9109436313582935,0.43510858075297626,252952,1466,0.914203525404613,0.09688079273186592,43,0.2,42,45.7
CNN,5,2025,2021,3,P_lgbm_r20,10,0.0005,91049,28849,26600,1262,0.9218042743565005,0.43432670069495183,252952,1262,0.9262201574409291,0.09955694943957581,43,0.2,42,45.8
