model,fold,test_year,val_year,horizon_h,plgbm,ratio,lr,n_train,n_val,n_test,n_pos_test,auroc,auprc,full_n,full_pos,full_auroc,full_auprc,best_epoch,dropout,seed,fold_sec
GRU,1,2021,2022,1,P_lgbm_r20,20,0.0005,159736,63232,56710,612,0.8705484210987449,0.08866703374780845,283317,612,0.8707971588203736,0.019923295008155626,27,0.2,42,304.1
GRU,1,2021,2022,2,P_lgbm_r20,20,0.0005,159736,63232,56710,433,0.875342771061371,0.06795379776698945,283317,433,0.8765118895958888,0.0153662888214189,27,0.2,42,304.2
GRU,1,2021,2022,3,P_lgbm_r20,20,0.0005,159736,63232,56710,314,0.8827889553082999,0.056653355366853196,283317,314,0.8845434185602363,0.012899248485951866,27,0.2,42,304.3
GRU,2,2022,2023,1,P_lgbm_r20,20,0.0005,158364,58082,63232,7978,0.9441167131499633,0.7996286114168917,287749,7978,0.9440839415472985,0.5619248003249474,28,0.2,42,225.0
GRU,2,2022,2023,2,P_lgbm_r20,20,0.0005,158364,58082,63232,7296,0.9516449777090954,0.8203792611195716,287749,7296,0.9534254713520813,0.6260787773381871,28,0.2,42,225.2
GRU,2,2022,2023,3,P_lgbm_r20,20,0.0005,158364,58082,63232,6735,0.9569120100575207,0.8305262115422972,287749,6735,0.9598401042393252,0.6606114121813591,28,0.2,42,225.3
GRU,3,2023,2024,1,P_lgbm_r20,20,0.0005,171611,49985,58082,2589,0.8830309011376706,0.34077193295876224,283176,2589,0.8829614598880777,0.10821201174990118,5,0.2,42,112.7
GRU,3,2023,2024,2,P_lgbm_r20,20,0.0005,171611,49985,58082,2185,0.8877050994700985,0.31931070343343476,283176,2185,0.8891796268921274,0.10451977766290511,5,0.2,42,112.8
GRU,3,2023,2024,3,P_lgbm_r20,20,0.0005,171611,49985,58082,1861,0.8940448858649016,0.30380089403778715,283176,1861,0.8965925305334891,0.10146902620110435,5,0.2,42,112.9
GRU,4,2024,2025,1,P_lgbm_r20,20,0.0005,178024,51669,49985,401,0.8393076279935849,0.06442512714836818,251399,401,0.8395686911614422,0.01369927851902911,27,0.2,42,249.6
GRU,4,2024,2025,2,P_lgbm_r20,20,0.0005,178024,51669,49985,261,0.8212015382382013,0.0379694536537153,251399,261,0.8221755793680805,0.008052331387779202,27,0.2,42,249.7
GRU,4,2024,2025,3,P_lgbm_r20,20,0.0005,178024,51669,49985,172,0.7935534713783037,0.021446303041847675,251399,172,0.7949880937845427,0.004504554263136805,27,0.2,42,249.8
GRU,5,2025,2021,1,P_lgbm_r20,20,0.0005,171299,56710,51669,1734,0.9026314485647952,0.2641575385713103,252952,1734,0.9025606288836683,0.07010810948473578,32,0.2,42,278.3
GRU,5,2025,2021,2,P_lgbm_r20,20,0.0005,171299,56710,51669,1466,0.9076426380110938,0.247835107460166,252952,1466,0.9088641562031412,0.06662678795594601,32,0.2,42,278.4
GRU,5,2025,2021,3,P_lgbm_r20,20,0.0005,171299,56710,51669,1262,0.9136315730681256,0.23981068426435564,252952,1262,0.9155423048590892,0.0654544672551083,32,0.2,42,278.5
